Quantity	Item	Description	Link	Gross Price	Gross Units	Unit Price	Quantity Needed Price	
1	M2 / 10mm	HELIFOUNER 560 Pieces M2 x 4mm /6mm /8mm /10mm /12mm /16mm /20mm, Countersunk Head Socket Cap Screws Bolts Washers Nuts Kit, 304 Stainless Steel	https://www.amazon.com/dp/B0B6HZX2ZJ	$11.99	140	$0.09	$0.09	
2	M2 / 8mm	(same set)				$0.09	$0.17	
1	small breadboard	DEYUE breadboard Set Prototype Board - 6 PCS 400 Pin Solderless Board Kit for Raspberry pi and Arduino Project	https://www.amazon.com/dp/B07LFD4LT6	$7.99	6	$1.33	$1.33	
4	#61 rubber band	Alliance Rubber 54615 Advantage Rubber Bands Size #61, 1 lb Box Contains Approx. 535 Bands (2inch x 1/4inch, Blue)	https://www.amazon.com/dp/B008X09UNC	$7.58	535	$0.01	$0.06	
1	MT3608 boost DCDC	8Pcs DC-DC Adjustable Boost Module 2A DC Voltage Regulator Boost Plate Step Up Converter Module with USB 2V-24V to 5V 9V 12V 28V	https://www.amazon.com/dp/B09ZKKFHXW	$7.99	8	$1.00	$1.00	
1	geared dc N20 motor	Acxico 3Pcs Mini Micro N20 Gear Motor DC 3V-6V Slow Speed Full Metal Gearbox DIY Robot Car	https://www.amazon.com/dp/B09DG3GCGK	$9.99	3	$3.33	$3.33	
1	steering servo	Sg90 9g Micro Servo Motor, Miuzei Mini Servos Motor Kit Metal Gear 180 Degree Servo for Rc Car Airplane Plane Arduino 10 Pack	https://www.amazon.com/dp/B072V529YD	$18.88	10	$1.89	$1.89	
1	L293D motor controller	Bridgold 10pcs L293 L293D 16-pin IC Stepper Motor Drivers Controllers	https://www.amazon.com/dp/B07NXTWJV9	$8.99	10	$0.90	$0.90	
1	flyback diode 4004	BOJACK 1N4004 Rectifier Diode 1 A 400 V DO-41 Axial 4004 1 amp 400 Volt Electronic Silicon Diodes(Pack of 125 Pieces)	https://www.amazon.com/dp/B07Q4F4RPZ	$5.99	125	$0.05	$0.05	
4	LEDs	BOJACK 5 Colors 500 pcs 5mm LED Diode Lights Assored Kit Pack Bright Lighting Bulb Lamps Electronics Components 5 mm Light Emitting Diodes Parts	https://www.amazon.com/dp/B09XDMJ6KY	$11.99	500	$0.02	$0.10	
2	resistors for LEDs	EDGELEC 100pcs 220 ohm Resistor 1/2w (0.5Watt) ±1% Tolerance Metal Film Fixed Resistor, Multiple Values of Resistance Optional	https://www.amazon.com/dp/B07QK9ZBVZ	$5.99	100	$0.06	$0.12	
1	BJT	MCIGICM (200 Pcs) 2N2222 Transistor, 2N2222A to-92 Transistor NPN 40V 600mA 300MHz 625mW Through Hole	https://www.amazon.com/dp/B06XPWS52G	$6.99	200	$0.03	$0.03	
48	PLA	OVERTURE PLA Filament 1.75mm PLA 3D Printer Filament, 2kg Cardboard Spool (4.4lbs), Dimensional Accuracy +/- 0.03mm, Fit Most FDM Printer (White 2-Pack)	https://www.amazon.com/dp/B085DX3X8Y	$36.99	2000	$0.02	$0.89	
								
